species,lat,lon
Emys orbicularis,36.98,-6.49
Emys orbicularis,36.98,-6.49
Emys orbicularis,36.98,-5.3
Emys orbicularis,36.991516,-6.442426
Emys orbicularis,36.992851,8.431094
Emys orbicularis,37.001669,-8.037616
Emys orbicularis,37.00729,-7.839218
Emys orbicularis,37.00729,-7.839218
Emys orbicularis,37.011624,-7.890837
Emys orbicularis,37.013209,-6.446442
Emys orbicularis,37.015575,-8.05287
Emys orbicularis,37.017941,-7.996888
Emys orbicularis,37.019862,-7.985979
Emys orbicularis,37.02,-8.02
Emys orbicularis,37.02,-8.02
Emys orbicularis,37.020645,14.342308
Emys orbicularis,37.021829,-8.040731
Emys orbicularis,37.021902,-6.495103
Emys orbicularis,37.023573,31.803293
Emys orbicularis,37.024052,-8.171989
Emys orbicularis,37.024586,-8.012088
Emys orbicularis,37.0246,-8.01188
Emys orbicularis,37.024605,-8.011753
Emys orbicularis,37.024612,-8.01178
Emys orbicularis,37.024647,-8.011783
Emys orbicularis,37.024647,-8.011381
Emys orbicularis,37.024675,-8.011937
Emys orbicularis,37.024754,-8.013402
Emys orbicularis,37.024805,-8.013295
Emys orbicularis,37.024811,-8.013543
Emys orbicularis,37.024949,-8.013501
Emys orbicularis,37.024962,-8.013802
Emys orbicularis,37.025012,-8.011803
Emys orbicularis,37.025204,-8.012252
Emys orbicularis,37.025204,-8.012252
Emys orbicularis,37.025204,-8.012252
Emys orbicularis,37.025237,-8.011179
Emys orbicularis,37.027025,-8.012003
Emys orbicularis,37.02964,-7.935856
Emys orbicularis,37.03,-7.82
Emys orbicularis,37.032467,-7.812996
Emys orbicularis,37.032467,-7.812996
Emys orbicularis,37.032731,-7.812118
Emys orbicularis,37.032818,-7.812391
Emys orbicularis,37.032821,-7.812315
Emys orbicularis,37.032825,-7.812582
Emys orbicularis,37.032854,-7.812173
Emys orbicularis,37.032854,-7.812173
Emys orbicularis,37.032889,-7.812139
Emys orbicularis,37.03289,-7.812162
Emys orbicularis,37.032896,-7.812166
Emys orbicularis,37.032902,-7.81218
Emys orbicularis,37.033122,-7.815686
Emys orbicularis,37.033134,-7.81281
Emys orbicularis,37.033272,-7.812774
Emys orbicularis,37.033479,-7.812683
Emys orbicularis,37.033765,-7.976702
Emys orbicularis,37.034385,-7.813187
Emys orbicularis,37.038141,-8.059672
Emys orbicularis,37.041504,-6.521672
Emys orbicularis,37.044765,-7.906007
Emys orbicularis,37.047029,-6.566666
Emys orbicularis,37.048273,50.334006
Emys orbicularis,37.048496,-6.566691
Emys orbicularis,37.049781,50.263983
Emys orbicularis,37.051276,-6.565674
Emys orbicularis,37.054925,-8.093055
Emys orbicularis,37.055935,-7.931921
Emys orbicularis,37.06,-6.47
Emys orbicularis,37.060001,-6.47
Emys orbicularis,37.060189,-8.125085
Emys orbicularis,37.064985,9.678591
Emys orbicularis,37.07,-6.58
Emys orbicularis,37.07,-6.58
Emys orbicularis,37.070747,-8.135021
Emys orbicularis,37.075575,-7.922803
Emys orbicularis,37.088933,50.25055
Emys orbicularis,37.090762,-8.160478
Emys orbicularis,37.09142,-8.142623
Emys orbicularis,37.091566,-8.142491
Emys orbicularis,37.091583,-8.142444
Emys orbicularis,37.091688,-8.142433
Emys orbicularis,37.091688,-8.142433
Emys orbicularis,37.091934,-8.143191
Emys orbicularis,37.091934,-8.143191
Emys orbicularis,37.091934,-8.143191
Emys orbicularis,37.092339,-7.861906
Emys orbicularis,37.094651,-8.182725
Emys orbicularis,37.094753,-8.141641
Emys orbicularis,37.095399,-6.243368
Emys orbicularis,37.101581,-6.55233
Emys orbicularis,37.114063,25.44322
Emys orbicularis,37.117386,-6.430023
Emys orbicularis,37.117622,-4.76326
Emys orbicularis,37.12033,-8.028189
Emys orbicularis,37.120849,-8.18729
Emys orbicularis,37.124255,-6.557844
