scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,27.78064,-82.640572
Trachemys scripta scripta,27.78222,-82.662045
Trachemys scripta scripta,27.786784,-82.657624
Trachemys scripta scripta,27.786905,-82.640738
Trachemys scripta scripta,27.789056,-82.641592
Trachemys scripta scripta,27.809831,-82.348921
Trachemys scripta scripta,27.832473,-15.618063
Trachemys scripta scripta,27.845412,-82.776869
Trachemys scripta scripta,27.855983,-82.316122
Trachemys scripta scripta,27.882232,-82.841158
Trachemys scripta scripta,27.912056,-82.773817
Trachemys scripta scripta,27.926089,-82.347983
Trachemys scripta scripta,27.932917,-82.765495
Trachemys scripta scripta,27.933249,-82.765674
Trachemys scripta scripta,27.933249,-82.765674
Trachemys scripta scripta,27.968069,-82.683609
Trachemys scripta scripta,27.975511,-82.285907
Trachemys scripta scripta,27.990724,-82.502998
Trachemys scripta scripta,28.019971,-80.610277
Trachemys scripta scripta,28.020277,-82.788612
Trachemys scripta scripta,28.024488,-82.785685
Trachemys scripta scripta,28.025397,-17.201853
Trachemys scripta scripta,28.029424,-82.47825
Trachemys scripta scripta,28.033727,-82.777896
Trachemys scripta scripta,28.036256,-81.9533
Trachemys scripta scripta,28.039402,-81.949804
Trachemys scripta scripta,28.04039,-97.063549
Trachemys scripta scripta,28.040422,-97.063531
Trachemys scripta scripta,28.040717,-80.643128
Trachemys scripta scripta,28.045902,-16.619444
Trachemys scripta scripta,28.045925,-16.619172
Trachemys scripta scripta,28.061711,-82.418347
Trachemys scripta scripta,28.062167,-82.418275
Trachemys scripta scripta,28.062203,-82.418542
Trachemys scripta scripta,28.062623,-15.462918
Trachemys scripta scripta,28.066834,-80.623856
Trachemys scripta scripta,28.066855,-80.623979
Trachemys scripta scripta,28.067105,-80.622598
Trachemys scripta scripta,28.071525,-82.372742
Trachemys scripta scripta,28.071636,-82.375957
Trachemys scripta scripta,28.071859,-82.37256
Trachemys scripta scripta,28.072528,-82.377872
Trachemys scripta scripta,28.073445,-82.377709
Trachemys scripta scripta,28.07345,-82.377755
Trachemys scripta scripta,28.073508,-82.3777
Trachemys scripta scripta,28.073709,-82.375547
Trachemys scripta scripta,28.073739,-82.377128
Trachemys scripta scripta,28.073871,-82.375376
Trachemys scripta scripta,28.073871,-82.375376
Trachemys scripta scripta,28.073897,-82.377022
Trachemys scripta scripta,28.075659,-82.375105
Trachemys scripta scripta,28.078294,-82.71143
Trachemys scripta scripta,28.0853,-82.704737
Trachemys scripta scripta,28.088601,-82.701457
Trachemys scripta scripta,28.089294,-82.310372
Trachemys scripta scripta,28.092271,-82.437386
Trachemys scripta scripta,28.113337,-82.736358
Trachemys scripta scripta,28.142836,-80.597533
Trachemys scripta scripta,28.146525,-82.238427
Trachemys scripta scripta,28.148318,-82.236639
Trachemys scripta scripta,28.150064,-82.233038
Trachemys scripta scripta,28.163231,-80.660456
Trachemys scripta scripta,28.18537,-81.860876
Trachemys scripta scripta,28.208281,-81.421347
Trachemys scripta scripta,28.226751,-81.568886
