scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,41.111056,-73.832776
Trachemys scripta scripta,41.110972,-73.832876
Trachemys scripta scripta,41.110968,-73.832815
Trachemys scripta scripta,41.110121,-73.83429
Trachemys scripta scripta,41.110049,-73.834222
Trachemys scripta scripta,41.088937,-80.681066
Trachemys scripta scripta,41.088731,-80.680808
Trachemys scripta scripta,41.08873,-80.680761
Trachemys scripta scripta,41.088703,-80.680855
Trachemys scripta scripta,41.088698,-80.680691
Trachemys scripta scripta,41.088688,-80.680744
Trachemys scripta scripta,41.088686,-80.680686
Trachemys scripta scripta,41.088682,-80.680739
Trachemys scripta scripta,41.088674,-80.680702
Trachemys scripta scripta,41.088667,-80.680749
Trachemys scripta scripta,41.088665,-80.680777
Trachemys scripta scripta,41.088661,-80.680782
Trachemys scripta scripta,41.088641,-80.68063
Trachemys scripta scripta,41.088633,-80.68075
Trachemys scripta scripta,41.074588,-80.772528
Trachemys scripta scripta,41.026027,-73.844808
Trachemys scripta scripta,41.017818,-81.515697
Trachemys scripta scripta,41.012287,-81.513352
Trachemys scripta scripta,40.987672,-74.007916
Trachemys scripta scripta,40.961383,-73.987862
Trachemys scripta scripta,40.961383,-73.987862
Trachemys scripta scripta,40.960667,-73.988412
Trachemys scripta scripta,40.953112,-81.524869
Trachemys scripta scripta,40.94723,-73.833642
Trachemys scripta scripta,40.947064,-73.116087
Trachemys scripta scripta,40.946823,-73.115515
Trachemys scripta scripta,40.942598,-74.256258
Trachemys scripta scripta,40.927087,-74.028558
Trachemys scripta scripta,40.914567,-74.091233
Trachemys scripta scripta,40.913628,-74.092597
Trachemys scripta scripta,40.912154,-73.12378
Trachemys scripta scripta,40.892686,-73.870043
Trachemys scripta scripta,40.889972,-73.892419
Trachemys scripta scripta,40.888533,-73.865686
Trachemys scripta scripta,40.885319,-73.866311
Trachemys scripta scripta,40.877705,-73.970262
Trachemys scripta scripta,40.877654,-73.969893
Trachemys scripta scripta,40.874261,-73.922018
Trachemys scripta scripta,40.873478,-73.918578
Trachemys scripta scripta,40.873425,-73.967995
Trachemys scripta scripta,40.873375,-73.968443
Trachemys scripta scripta,40.873263,-73.967567
Trachemys scripta scripta,40.87323,-73.967645
Trachemys scripta scripta,40.873144,-73.92029
Trachemys scripta scripta,40.867672,-73.876731
Trachemys scripta scripta,40.867608,-73.879045
Trachemys scripta scripta,40.866653,-73.999655
Trachemys scripta scripta,40.86508,-73.877962
Trachemys scripta scripta,40.862263,-73.696983
Trachemys scripta scripta,40.862148,-75.591042
Trachemys scripta scripta,40.850599,-73.877006
Trachemys scripta scripta,40.838543,-73.948839
Trachemys scripta scripta,40.829211,-81.310469
Trachemys scripta scripta,40.807788,-81.460463
Trachemys scripta scripta,40.80635,-81.458245
Trachemys scripta scripta,40.803682,-73.95874
Trachemys scripta scripta,40.803187,-74.000702
Trachemys scripta scripta,40.803152,-74.000615
Trachemys scripta scripta,40.797528,-73.952371
Trachemys scripta scripta,40.797472,-73.952206
Trachemys scripta scripta,40.797408,-73.95118
Trachemys scripta scripta,40.796944,-73.952263
Trachemys scripta scripta,40.794769,-77.863213
Trachemys scripta scripta,40.794731,-73.951714
Trachemys scripta scripta,40.794729,-77.863283
Trachemys scripta scripta,40.794634,-73.957635
Trachemys scripta scripta,40.79461,-73.959881
Trachemys scripta scripta,40.794596,-73.959832
Trachemys scripta scripta,40.794589,-73.959833
Trachemys scripta scripta,40.794582,-81.933921
Trachemys scripta scripta,40.794513,-73.960083
Trachemys scripta scripta,40.792709,-82.785966
Trachemys scripta scripta,40.787745,-73.957673
Trachemys scripta scripta,40.787124,-74.101061
Trachemys scripta scripta,40.785612,-74.10386
Trachemys scripta scripta,40.783342,-74.1006
Trachemys scripta scripta,40.782865,-73.965355
Trachemys scripta scripta,40.782865,-73.965355
Trachemys scripta scripta,40.782675,-73.960702
Trachemys scripta scripta,40.781342,-73.966514
Trachemys scripta scripta,40.779919,-73.96815
Trachemys scripta scripta,40.779625,-73.968112
Trachemys scripta scripta,40.779095,-73.967115
Trachemys scripta scripta,40.778915,-73.967211
Trachemys scripta scripta,40.778122,-73.971947
Trachemys scripta scripta,40.77769,-73.973111
Trachemys scripta scripta,40.777407,-73.973175
Trachemys scripta scripta,40.776864,-73.972629
Trachemys scripta scripta,40.775917,-73.97355
Trachemys scripta scripta,40.775423,-73.969311
Trachemys scripta scripta,40.774628,-73.971008
Trachemys scripta scripta,40.774625,-73.969903
Trachemys scripta scripta,40.774587,-73.970873
Trachemys scripta scripta,40.774569,-73.970824
Trachemys scripta scripta,40.774453,-73.970758
Trachemys scripta scripta,40.774393,-73.970605
Trachemys scripta scripta,40.76688,-73.973973
Trachemys scripta scripta,40.766483,-73.973712
Trachemys scripta scripta,40.766075,-89.673325
Trachemys scripta scripta,40.765941,-73.974913
Trachemys scripta scripta,40.765886,-73.975069
Trachemys scripta scripta,40.7607,-73.985205
Trachemys scripta scripta,40.760409,-75.220067
Trachemys scripta scripta,40.75949,-73.759252
Trachemys scripta scripta,40.759489,-73.75898
Trachemys scripta scripta,40.759113,-73.759347
Trachemys scripta scripta,40.759014,-73.760277
Trachemys scripta scripta,40.758755,-73.759415
Trachemys scripta scripta,40.754375,-73.987882
Trachemys scripta scripta,40.750983,-73.82788
Trachemys scripta scripta,40.748134,-73.805328
Trachemys scripta scripta,40.746119,-73.807604
Trachemys scripta scripta,40.745896,-73.740411
Trachemys scripta scripta,40.742494,-111.873329
Trachemys scripta scripta,40.742412,-111.873307
Trachemys scripta scripta,40.740028,-73.840695
Trachemys scripta scripta,40.736418,-73.995681
Trachemys scripta scripta,40.73519,-73.842768
Trachemys scripta scripta,40.734608,-89.750795
